split,row_id,test_index,ticker,company_name,rating_date,true_label,true_label_name,pred_label,pred_label_name,confidence,last_y_context,explained_class_id,explained_class_name,explained_class_model_probability,explained_class_lime_prediction_probability,lime_probability_source,lime_rule,lime_weight_for_explained_class,direction,rank,html_path,lime_instance_plot_path
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,pretax_profit_margin <= -0.56,0.10295973887376116,supports_explained_class,1,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,current_ratio > 0.34,0.08858827827588248,supports_explained_class,2,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,ebit_margin <= -0.46,0.07949849869101529,supports_explained_class,3,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,roa <= -0.67,0.07917651060452877,supports_explained_class,4,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,roe <= -0.43,0.05733652220267674,supports_explained_class,5,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,gross_profit_margin > 0.31,0.03466313791573163,supports_explained_class,6,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,net_profit_margin <= -0.47,0.03197809032140916,supports_explained_class,7,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,asset_turnover <= -0.51,-0.01857458384173438,opposes_explained_class,8,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,debt_equity_ratio > 0.17,0.011115574870715123,supports_explained_class,9,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
test,10801,671,GOGO,Gogo Inc.,2016-06-09,1,1,0,0,0.9999138687158833,0,0,0,0.9999138687158833,0.9999138687022421,direct Transformer-LSTM,operating_profit_margin <= -0.59,-0.006394453059712654,opposes_explained_class,10,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_row_10801_all_classes_plot.png
