split,row_id,test_index,ticker,company_name,rating_date,true_label,true_label_name,pred_label,pred_label_name,confidence,last_y_context,explained_class_id,explained_class_name,explained_class_model_probability,feature,feature_value,shap_value,abs_shap_value,direction,rank,xai_method,xai_probability_source
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,current_ratio,-1.085139513015747,-0.005816868506371975,0.005816868506371975,opposes_explained_class,1,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,pretax_profit_margin,0.08967489749193192,-0.005534599535167217,0.005534599535167217,opposes_explained_class,2,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,operating_profit_margin,0.2093861699104309,0.002514489460736513,0.002514489460736513,supports_explained_class,3,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,asset_turnover,-1.0033483505249023,-0.0018457751721143723,0.0018457751721143723,opposes_explained_class,4,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,free_cashflow_ps,0.13982632756233215,-0.001516154850833118,0.001516154850833118,opposes_explained_class,5,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,ebit_margin,0.22025279700756073,-0.001402866910211742,0.001402866910211742,opposes_explained_class,6,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,debt_equity_ratio,0.19289693236351013,-0.001386042800731957,0.001386042800731957,opposes_explained_class,7,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,roe,-0.1099311113357544,0.0009738343651406467,0.0009738343651406467,supports_explained_class,8,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,operating_cashflow_ps,0.17412087321281433,0.000951968424487859,0.000951968424487859,supports_explained_class,9,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,0,0,0.0008569348481973911,roa,-0.40025997161865234,-0.0007435510633513331,0.0007435510633513331,opposes_explained_class,10,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,pretax_profit_margin,0.08967489749193192,-0.016690384596586227,0.016690384596586227,opposes_explained_class,1,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,asset_turnover,-1.0033483505249023,-0.016239898279309273,0.016239898279309273,opposes_explained_class,2,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,current_ratio,-1.085139513015747,-0.015328476205468178,0.015328476205468178,opposes_explained_class,3,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,operating_profit_margin,0.2093861699104309,0.012505275197327137,0.012505275197327137,supports_explained_class,4,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,debt_equity_ratio,0.19289693236351013,-0.007982619106769562,0.007982619106769562,opposes_explained_class,5,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,gross_profit_margin,0.8062515258789062,0.0071502504870295525,0.0071502504870295525,supports_explained_class,6,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,net_profit_margin,0.03632386401295662,-0.006045284681022167,0.006045284681022167,opposes_explained_class,7,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,free_cashflow_ps,0.13982632756233215,-0.004606202710419893,0.004606202710419893,opposes_explained_class,8,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,ebit_margin,0.22025279700756073,0.004559543915092945,0.004559543915092945,supports_explained_class,9,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,1,1,0.011063485099160905,roe,-0.1099311113357544,0.003308624494820833,0.003308624494820833,supports_explained_class,10,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,2,2,0.9880795800526417,pretax_profit_margin,0.08967489749193192,0.05657348781824112,0.05657348781824112,supports_explained_class,1,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,2,2,0.9880795800526417,current_ratio,-1.085139513015747,0.02637513354420662,0.02637513354420662,supports_explained_class,2,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,2,2,0.9880795800526417,ebit_margin,0.22025279700756073,0.020906005054712296,0.020906005054712296,supports_explained_class,3,captum_gradient_shap,direct Transformer-LSTM
test,7671,1192,PCG,PG&E CORPORATION,2013-07-12,1,1,2,2,0.9880795800526417,2,2,2,0.9880795800526417,asset_turnover,-1.0033483505249023,0.02043798938393593,0.02043798938393593,supports_explained_class,4,captum_gradient_shap,direct Transformer-LSTM
