row_id,ticker,company_name,rating_date,sector,rating_detail,last_y,pred_label,raw_pred_label,prob_0,prob_1,prob_2
test_001604,BTE,Baytex Energy Corp,2016-02-03,5,0,1,1,1,0.19497979,0.66083956,0.14418066
test_001606,NRP,Natural Resource Partners LP,2016-06-01,5,0,1,1,1,0.1739075,0.6434864,0.18260618
test_001293,BZH,"Beazer Homes USA, Inc.",2012-09-06,8,0,1,1,1,0.11462901,0.82107764,0.064293325
test_001666,THC,Tenet Healthcare Corp.,2015-07-08,7,0,1,1,1,0.060885992,0.9069523,0.032161735
test_000747,THC,Tenet Healthcare Corp.,2014-03-05,7,0,1,1,1,0.0517407,0.92008495,0.028174354
test_000034,AMD,"Advanced Micro Devices, Inc.",2015-04-21,10,0,1,1,1,0.050659947,0.8914183,0.057921696
test_000860,BZH,Beazer Homes USA Inc.,2014-06-13,8,0,1,1,1,0.0355454,0.9546502,0.009804406
test_001714,BTU,PEABODY ENERGY CORPORATION,2014-10-22,5,0,1,1,1,0.034694385,0.9363504,0.028955264
test_000078,KTOS,"Kratos Defense & Security Solutions, Inc.",2016-12-16,1,0,1,1,1,0.030545779,0.94190776,0.027546404
test_000811,TECK,Teck Resources Limited,2016-05-23,8,0,1,1,1,0.02737108,0.9241199,0.048509017
test_000576,SXC,"SunCoke Energy, Inc.",2016-02-03,1,0,1,1,1,0.025545122,0.91882586,0.055629097
test_001256,BZH,Beazer Homes USA Inc.,2016-03-11,8,0,1,1,1,0.019206792,0.8491111,0.13168216
test_001449,CENT,Central Garden & Pet Co.,2013-01-18,4,0,1,1,1,0.018967107,0.9651959,0.01583698
test_001617,TDG,TransDigm Inc.,2013-06-28,1,0,1,1,1,0.018821385,0.86416006,0.117018536
test_000024,TDG,TransDigm Inc.,2013-08-23,1,0,1,1,1,0.018821385,0.86416006,0.117018536
test_001514,CLF,Cleveland-Cliffs Inc.,2016-01-05,8,0,1,1,1,0.018611973,0.8950692,0.08631882
test_001500,KTOS,"Kratos Defense and Security Solutions, Inc.",2014-11-13,10,0,1,1,1,0.017368553,0.97462124,0.008010159
test_000472,GLDD,Great Lakes Dredge & Dock Corporation,2013-08-26,8,0,1,1,1,0.01394879,0.9722848,0.013766389
test_000678,CCOI,"Cogent Communications Finance, Inc.",2014-04-01,4,0,1,1,1,0.011415536,0.9496065,0.03897797
test_001698,THC,Tenet Healthcare Corp.,2012-07-16,7,0,1,1,1,0.00386244,0.85771,0.13842747
