rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,is_synthetic
18,TEXAS INSTRUMENTS INCORPORATED,TXN,1,2014-10-22,10,2,1.0892502270758915,-0.27248687658412596,0.35088569023794486,0.7689849156473261,0.7799095288927711,0.9196563076026144,0.8702426295754918,-0.2280114912210087,0.19759393557789418,1.0886839087006754,-0.26948439020329984,-0.06961320724736934,0
12,Gold Fields Limited,GFI,5,2012-06-15,8,2,-0.6046767793238058,-0.42104397250290887,0.23122634067834308,1.2718877548993341,1.2816337130977034,1.156906746756711,0.7883990291006059,-0.37353815331968,0.130598846571379,0.8719324434066676,0.6091498604483936,0.15535076891921198,0
3,__SYNTHETIC__,SYN_3_0000075,2,2012-06-15,7,2,0.06194774437363404,-0.19774367315118724,0.46051213381316214,0.5993443985721552,0.6247029808154769,0.49656120847445884,0.4098615619527486,-0.07367707313065575,0.18102940646031218,0.8634167534427277,0.07198411895752299,0.09271024629339975,1
21,__SYNTHETIC__,SYN_21_0000182,4,2014-12-30,7,2,0.04506177247520249,-0.19393931509244489,0.8889031029188825,0.8131820135674461,0.881680608035186,0.8428297519523165,0.8180570320734812,-0.4613516058365672,0.17515502026113783,1.1835862264639632,-0.16266809104296964,-0.19487735959024777,1
12,"AVNET, INC",AVT,1,2014-08-27,4,2,0.14073681674172633,-0.3229128769077868,-1.272007038586236,-0.8206609487111958,-0.8060106771976934,-0.6121861067920134,-0.5050755652529922,2.285656443049514,-0.02858158715165539,-0.015839141876440713,-1.7904764672530826,-1.1903287004017702,0
21,Microsoft Corp.,MSFT,6,2013-04-29,10,2,0.8522697917942786,-0.581429693051977,1.317862704674152,1.209675261075612,1.2195670269014458,1.4391344333725717,1.3266298723391907,-0.3045397586790766,0.34017001606985936,1.505544785477564,0.12843279449119835,0.066515650756403,0
2,__SYNTHETIC__,SYN_2_0000056,3,2013-11-26,5,2,-0.024323974843426743,-0.6465916653067136,-0.8652316826357824,-0.09169339659657094,0.14229733281469148,-0.0012586333134754213,0.014590312158000884,0.6436184859009546,-0.25008121550454376,0.34477086241727406,0.08322483104365253,0.1828605630446809,1
16,Martin Marietta Materials Inc.,MLM,6,2011-12-13,8,2,0.5996630405179417,0.06601679212544206,-0.8967568925682516,-0.10085864471367037,-0.08789537623989047,-0.24468946131961736,-0.1804565256542872,-0.5732965790767528,-0.15992365710628248,-0.4078414189384922,1.7864387039806504,1.1467158625085845,0
16,Portland General Electric Co.,POR,6,2011-01-21,9,2,-0.34913044432598056,0.23870720757857664,0.013713537055620109,0.15969179514145077,0.17204441068789836,-0.028469623179084393,-0.03532726869939141,-0.9632923738517509,-0.12034262111750384,-0.48056523848303584,-0.42984257691361466,0.9656874908096439,0
17,JOHNSON CONTROLS INTERNATIONAL,JOUT,1,2014-05-27,10,2,1.1294887101955398,-0.7521658450663276,-0.1323658836773423,-0.5566164043903601,-0.5425849749483787,-0.34550883498876983,-0.2641396675247591,1.1674688920754492,-0.06384538905680165,0.30270846997506373,-0.5423650542676307,-0.3627970816460832,0
11,Cementos Pacasmayo S.A.A.,CPAC,6,2013-01-25,1,2,0.46104493993416323,-0.2063494756661244,-0.02592259343245821,0.653694191357853,0.6648890118549947,0.02439366443716398,-0.07495018234436672,-0.5380074184325704,0.5146486416167776,2.0596645662161066,-0.22983197135695616,-0.13972983008850837,0
13,Timken Company (The),TKR,5,2012-06-15,1,2,0.9997462563528329,-0.49977759511120284,-0.6791878674838433,0.0925249441020166,0.10503497881931545,0.2577814368432499,0.12261712361114678,0.7534534960656887,0.2576466872421089,0.9470034278281801,-1.0675310041076675,-0.7347105742415883,0
10,Range Resources Corp.,RRC,6,2013-05-13,5,2,-1.2304108045694304,0.28805585125402755,2.0241488329133888,0.7294117488884383,0.7404291098956547,-0.6820672923695323,-0.6132406024398336,-1.2527322199385464,-0.2996701472308226,-0.8417877830114087,-0.2565909782155699,-0.5733646070918452,0
13,BorgWarner Inc.,BWA,6,2013-04-10,2,2,-0.12943904226201972,-0.4074248384030139,-0.9229842044444055,-0.19169842283259084,-0.17852225287049495,0.036677110152791945,-0.0387492996059164,0.639080911744583,0.11066390955643006,0.5496249458981617,0.2963784335586739,0.10933187676626928,0
13,"Interpublic Group of Companies, Inc.",IPG,2,2012-06-15,8,2,-0.6785437960041159,-0.09840846969594208,-1.4044487390418414,-0.3567291976516296,-0.343166244516958,-0.25325093729203924,-0.2982346873226036,-0.5454899676705163,-0.007307259574348048,-0.4898541959523828,0.03956688951561665,0.009893757100653934,0
5,TransDigm Inc.,TDG,5,2013-06-25,1,2,2.038994483481687,1.0864302920417868,0.4906763388995465,1.9681124737864137,1.976226687809237,1.338984368083786,0.9948931701810886,-0.9976023060599387,0.3677451026857421,0.1743864556986717,1.012452470273187,0.7159728131878311,0
6,Tenet Healthcare Corporation,THC,5,2013-03-27,7,2,-0.413447872033501,1.070053088476993,-0.30871252989041065,-0.4290880255801806,-0.4153554848212568,-0.6671972078718014,-0.6316696715071355,0.475806216621082,-0.08641309759699708,-0.6569019915326917,0.2215909539807911,-0.048500485779904415,0
8,ALLEGHENY TECHNOLOGIES,ATI,1,2014-05-06,1,2,1.0615210889513178,-0.18697317041140432,-1.2048304235097846,-0.5142270981303704,-0.5002950166456199,-0.4111340444270433,-0.3710040989416163,-0.022426814892367974,-0.15578279315395302,-0.4173946736019315,0.39750086489179637,-0.03441497351957805,0
